Gene,Probe,Pearson,MaxDiff,Tau,Euclid,AvgVar
FOXG1,A_23_P205428,0.9704,0.7816,0.6492,9.7191,0.653
HOXB3,A_24_P399220,0.9691,0.4906,0.3753,6.7624,0.371
HOXB2,A_23_P107283,0.9616,0.6431,0.5155,7.2385,0.512
ITPKA,A_23_P65918,0.9595,0.8348,0.678,7.8595,0.681
BAIAP2,A_23_P61810,0.9571,0.8814,0.7926,5.3496,0.795
NRGN,A_23_P116264,0.9561,0.8953,0.7865,7.9789,0.788
ICAM5,A_23_P119143,0.9557,0.8361,0.6516,6.7664,0.658
HOXA2,A_24_P200854,0.9537,0.5275,0.3871,6.4276,0.385
C2orf55,CUST_8309_PI416261804,0.9513,0.7973,0.6334,6.5074,0.637
GDA,A_24_P393571,0.9511,0.8724,0.7887,10.1035,0.791
GABRA6,A_23_P41847,0.9502,0.4114,0.16,5.2988,0.161
NPTX1,A_23_P124905,0.9493,0.8972,0.7995,8.7242,0.801
SHOX2,A_23_P124384,0.9485,0.752,0.6657,10.0557,0.663
PVALB,A_23_P17844,0.9474,0.8959,0.8041,11.8971,0.806
FEZF2,A_24_P405631,0.9474,0.7992,0.6539,8.7214,0.659
MKL2,A_23_P54556,0.947,0.8802,0.7716,4.2684,0.773
PLK2,A_23_P30254,0.9469,0.8869,0.7443,6.2427,0.746
C14orf23,CUST_10655_PI416261804,0.9466,0.8016,0.6324,9.1157,0.637
MMD,A_23_P164047,0.9459,0.8929,0.7546,4.9064,0.759
RPRML,A_32_P3476,0.9446,0.8445,0.7716,10.7512,0.772
CRNDE,A_32_P104063,0.9444,0.8427,0.7067,7.5426,0.71
KANK4,A_32_P51237,0.9443,0.8887,0.7898,7.6609,0.789
PCP2,A_24_P399500,0.9418,0.6273,0.3687,6.4475,0.375
TCF7L2,A_24_P921823,0.9414,0.7792,0.6424,6.5637,0.641
ENC1,A_23_P213424,0.94,0.8778,0.7587,7.3216,0.761
STX1A,A_23_P82420,0.9399,0.876,0.775,6.2476,0.776
CREG2,A_23_P394986,0.9389,0.8566,0.6952,7.1456,0.699
PDE2A,A_23_P401106,0.9387,0.8088,0.682,6.1178,0.685
GPRIN2,CUST_120_PI416379584,0.9376,0.8603,0.7172,7.4702,0.721
NEUROD2,A_32_P25295,0.9372,0.8724,0.7585,12.893,0.76
LMO7,A_23_P205159,0.9371,0.8766,0.7363,5.504,0.738
IRX5,A_24_P48057,0.9371,0.8125,0.7035,8.0735,0.705
PLCB4,CUST_9880_PI416261804,0.9363,0.8923,0.7578,5.2964,0.76
NGEF,A_23_P102364,0.936,0.9014,0.7647,7.1823,0.768
HOXB5,A_23_P363316,0.9351,0.4398,0.3252,9.3724,0.322
IRX2,A_23_P156025,0.9349,0.8663,0.7557,9.9294,0.758
CAMK2A,A_24_P380311,0.9348,0.8796,0.777,8.8609,0.779
CORT,A_24_P246926,0.9341,0.8058,0.6461,6.2356,0.651
LRRC7,A_23_P160273,0.9313,0.8566,0.7538,7.0597,0.757
RCAN3,A_23_P391275,0.9312,0.8633,0.701,5.4015,0.704
DAO,A_23_P139635,0.931,0.8324,0.7363,12.4908,0.735
PCDH8,A_23_P36985,0.9309,0.879,0.7791,9.0809,0.779
AK5,A_23_P200015,0.9306,0.83,0.7038,4.7305,0.706
GABRA5,CUST_1321_PI417557136,0.9305,0.8766,0.7863,8.1366,0.786
RGS4,A_23_P200737,0.9302,0.8754,0.7344,5.9488,0.74
C19orf46,A_23_P350074,0.9301,0.8221,0.7094,6.568,0.711
DLX1,A_32_P142818,0.93,0.8234,0.6857,9.8048,0.688
HS3ST5,A_23_P351295,0.9299,0.8881,0.7495,5.7846,0.75
SLC30A3,A_23_P302568,0.9299,0.8578,0.7384,12.3183,0.741
ANKRD43,A_23_P304110,0.9289,0.8851,0.7619,6.8074,0.764
SUSD2,A_23_P314101,0.9289,0.85,0.7655,7.4818,0.765
LPPR4,A_32_P148538,0.9289,0.8857,0.7682,4.9842,0.768
ZNF831,A_32_P206479,0.9285,0.8312,0.6885,9.6936,0.694
PPP3CA,A_23_P92623,0.9282,0.8796,0.7274,4.3836,0.731
SLC17A7,CUST_318_PI417557136,0.9282,0.761,0.5791,9.9747,0.585
SLC6A11,A_23_P418562,0.9276,0.827,0.681,7.0925,0.685
LZTS1,A_23_P20443,0.9275,0.8627,0.7094,7.5231,0.711
TESC,A_23_P76538,0.9269,0.873,0.7311,5.4197,0.733
KCNV1,A_23_P146125,0.9265,0.8693,0.7223,9.7986,0.725
AGPAT9,A_23_P69810,0.9259,0.8651,0.7568,7.4126,0.759
RHOBTB2,CUST_16615_PI416261804,0.9259,0.8736,0.7642,7.3073,0.766
EPN3,A_23_P130027,0.9257,0.8603,0.7576,10.3222,0.759
HOXD3,A_23_P323180,0.9257,0.7229,0.5672,8.7076,0.564
DIRAS3,A_23_P149121,0.9253,0.876,0.7766,9.1837,0.777
OTP,A_23_P84230,0.925,0.4894,0.4543,9.9034,0.45
CAMKK2,A_23_P408830,0.9246,0.8524,0.7545,6.4739,0.757
LHX2,A_23_P32165,0.9244,0.8899,0.7676,9.2546,0.77
MEF2C,A_23_P320739,0.9244,0.8185,0.6462,5.4324,0.652
CAMKV,A_23_P29680,0.9243,0.8627,0.7782,8.9687,0.777
ANO3,A_23_P35725,0.9241,0.899,0.7598,10.595,0.761
SMPD3,A_23_P163567,0.9239,0.8754,0.7565,5.6076,0.757
MICAL2,A_23_P24843,0.9234,0.8282,0.6503,5.6643,0.656
KCNC2,A_23_P139841,0.9233,0.873,0.7493,7.6094,0.751
TIAM2,A_24_P303454,0.9233,0.8675,0.7556,7.0103,0.759
HOXA6,CUST_14334_PI416261804,0.9231,0.5094,0.3233,8.7961,0.32
LDB2,A_23_P125253,0.9229,0.8808,0.7462,7.1277,0.749
GATA3,CUST_15960_PI416261804,0.9227,0.8094,0.7038,8.5218,0.702
OLFM1,CUST_2109_PI416261804,0.9225,0.8312,0.6606,5.3034,0.665
CDH9,A_23_P92999,0.9222,0.8808,0.7697,7.2833,0.773
ZIC1,A_23_P367618,0.9219,0.8669,0.7392,6.7698,0.738
FLJ43860,CUST_1613_PI416261804,0.9218,0.8863,0.7726,8.3626,0.773
TMEM90A,A_24_P595237,0.9217,0.8457,0.7201,9.7376,0.719
C1orf115,A_23_P160433,0.9217,0.853,0.6965,6.7397,0.7
RNF152,A_32_P4199,0.9213,0.859,0.7162,6.1991,0.718
TTC39A,CUST_9709_PI416261804,0.9212,0.8705,0.7457,5.6712,0.748
NELL2,A_23_P10025,0.9205,0.8978,0.7539,6.0673,0.758
LAMB1,A_23_P94030,0.92,0.8717,0.762,6.4331,0.762
LOC100129291,CUST_4435_PI416261804,0.9199,0.7241,0.5162,8.791,0.525
FHL2,A_23_P108751,0.9199,0.8506,0.6929,7.6978,0.697
EPHA4,A_23_P119899,0.9199,0.8669,0.7561,5.6133,0.757
CPXM2,A_23_P138524,0.9198,0.833,0.6782,8.1683,0.681
CPNE5,A_23_P360804,0.9197,0.8887,0.7495,6.6662,0.752
PCDH20,CUST_502_PI416408490,0.9197,0.853,0.7236,6.4492,0.724
ESRRG,A_23_P74900,0.9194,0.876,0.7625,6.0172,0.763
ANK1,A_23_P216108,0.919,0.876,0.7702,6.755,0.771
CBLN1,A_24_P313431,0.9189,0.8705,0.7433,8.9728,0.742
EGR4,A_23_P380318,0.9187,0.8838,0.7304,9.6672,0.733
SLC17A6,CUST_1991_PI417557136,0.9187,0.8778,0.7663,9.8291,0.767
GRIA2,A_23_P340617,0.9186,0.8717,0.7389,4.8002,0.74
PLCB1,A_23_P6099,0.9186,0.8705,0.7494,5.3067,0.751
RGS16,A_23_P320578,0.9185,0.8596,0.6577,8.7192,0.657
NTNG1,CUST_1259_PI416379584,0.9183,0.8397,0.7113,7.0704,0.71
SPP1,A_23_P7313,0.9181,0.879,0.7554,7.4608,0.754
HPCAL4,A_24_P139665,0.918,0.8887,0.7722,5.8244,0.774
AGAP2,CUST_12827_PI416261804,0.9178,0.8657,0.7345,7.5213,0.738
CHRD,A_23_P502047,0.9174,0.8427,0.6493,6.3974,0.655
CAMK4,A_23_P250347,0.9174,0.8717,0.7605,5.6672,0.761
TMEM155,A_23_P408195,0.917,0.8524,0.6445,11.31,0.652
TMEM159,A_23_P406131,0.9165,0.8826,0.7624,6.699,0.764
NOL4,A_32_P126733,0.9164,0.8796,0.7495,4.4642,0.749
CPNE7,A_23_P26426,0.9163,0.8627,0.7166,6.766,0.716
THEMIS,CUST_1288_PI416379584,0.9161,0.7453,0.4682,8.0726,0.48
FAM19A2,A_24_P297551,0.916,0.8645,0.7245,6.7864,0.727
LRRTM1,A_23_P131330,0.9156,0.902,0.7475,6.1055,0.747
RYR2,A_23_P137797,0.9156,0.8705,0.7422,7.382,0.741
GABRA4,CUST_139_PI417557136,0.9155,0.8149,0.7225,7.343,0.723
ITPR1,A_23_P92042,0.9152,0.8826,0.7349,5.3636,0.739
CALB2,CUST_14719_PI416261804,0.9147,0.8596,0.733,8.2074,0.735
FBXL16,A_23_P406385,0.9147,0.8524,0.7104,5.9605,0.712
HOMER1,A_23_P41917,0.9145,0.8445,0.708,5.7562,0.71
NEFH,CUST_463_PI416408490,0.9145,0.8681,0.7554,8.5035,0.757
DLGAP1,CUST_8980_PI416261804,0.9142,0.8603,0.7308,6.7339,0.732
SIPA1L2,A_23_P137470,0.9142,0.8609,0.7255,5.5016,0.725
AKAP5,CUST_373_PI417507815,0.9141,0.8603,0.6924,8.0421,0.696
NEUROD1,A_23_P209484,0.9138,0.7877,0.5675,10.4642,0.575
LOC286002,CUST_3231_PI416261804,0.9137,0.7332,0.5179,8.5339,0.528
LOC729683,A_32_P145010,0.9137,0.8766,0.7475,5.4235,0.749
LOC644538,A_32_P48842,0.9135,0.8149,0.6964,4.9657,0.698
CDKL5,CUST_9466_PI416261804,0.9134,0.7913,0.6673,4.8479,0.667
RGS14,A_23_P124927,0.9133,0.8221,0.6519,11.5684,0.657
RIMBP2,A_24_P162226,0.9133,0.8645,0.7277,4.7138,0.728
ST8SIA3,A_32_P154021,0.9132,0.876,0.7426,5.5923,0.745
SIX3,CUST_15265_PI416261804,0.9132,0.8155,0.6843,7.6869,0.683
GPR88,CUST_298_PI416408490,0.9129,0.8046,0.6398,8.7741,0.643
BCL11B,A_23_P205738,0.9128,0.8929,0.7683,9.0589,0.771
GALNT14,A_23_P67847,0.9125,0.8748,0.7205,6.825,0.724
KCNA1,A_23_P48229,0.9124,0.8542,0.7394,7.7115,0.739
CAMK1G,A_23_P97402,0.9122,0.8808,0.7361,7.1074,0.736
PTPRR,A_23_P47924,0.9121,0.8887,0.7665,7.5054,0.769
KCTD4,A_23_P48327,0.912,0.8657,0.7161,6.9106,0.715
CHN1,A_23_P79482,0.9119,0.8645,0.7278,5.9896,0.731
PCP4,A_23_P109322,0.9118,0.8699,0.7369,7.9098,0.737
KIF17,A_23_P400515,0.9118,0.8603,0.732,5.3129,0.735
WASF1,A_23_P168306,0.9117,0.83,0.6986,4.1842,0.701
LY6H,A_23_P134914,0.9115,0.876,0.7448,8.7679,0.746
SLC27A6,A_23_P41789,0.9114,0.8615,0.7355,8.5455,0.738
NEFM,CUST_464_PI416408490,0.9113,0.873,0.7446,7.0638,0.744
BTBD11,CUST_116_PI416408490,0.9112,0.8572,0.7249,6.478,0.724
GPR6,CUST_1534_PI416261804,0.9112,0.7296,0.5786,9.314,0.584
A2BP1,A_23_P140858,0.911,0.8657,0.7445,5.9566,0.746
LEF1,A_24_P20630,0.911,0.8566,0.7441,5.1698,0.743
KIAA1024,CUST_942_PI416379584,0.9109,0.8651,0.7386,5.1007,0.741
DIRAS2,A_23_P20660,0.9108,0.8548,0.7337,6.6593,0.735
NPTX2,A_23_P82651,0.9107,0.8409,0.7349,8.4217,0.735
FAM70A,A_23_P125680,0.9107,0.8197,0.7299,8.7861,0.73
KCNK1,A_23_P126075,0.9103,0.8433,0.7377,4.9245,0.739
NETO1,A_24_P5653,0.9101,0.8796,0.7409,8.0165,0.744
FGF13,A_23_P217319,0.9098,0.7998,0.6528,7.832,0.65
CCK,CUST_147_PI416408490,0.9098,0.8869,0.7553,12.309,0.759
HPSE2,A_23_P61707,0.9095,0.8197,0.6665,8.9364,0.671
NR2E1,A_23_P338372,0.9094,0.8004,0.6881,8.8727,0.688
CACNA1G,A_23_P107247,0.9093,0.8929,0.7393,7.0127,0.739
LMO4,A_23_P380181,0.9093,0.784,0.6251,5.7999,0.631
ANKRD34C,CUST_1273_PI416379584,0.9092,0.879,0.7181,6.6302,0.718
SNCG,A_23_P251293,0.9091,0.8246,0.6545,7.0667,0.66
ARX,A_23_P306223,0.909,0.8076,0.6448,6.3469,0.647
ZMAT4,CUST_7529_PI416261804,0.909,0.8548,0.7269,6.5737,0.727
PRKCE,A_23_P250564,0.9088,0.8518,0.7152,5.2482,0.717
KIAA1324,CUST_97_PI416573500,0.9087,0.85,0.7016,5.4706,0.702
KLHL1,A_23_P2825,0.9087,0.853,0.7553,10.2946,0.757
GRIA3,A_24_P143127,0.9085,0.8657,0.731,5.8735,0.733
ANLN,A_23_P356684,0.9083,0.873,0.7362,7.5904,0.736
SYNPR,CUST_628_PI416408490,0.908,0.8742,0.7499,9.4327,0.75
SLIT1,A_23_P161386,0.9078,0.853,0.7007,5.1724,0.704
NECAB2,A_23_P66011,0.9077,0.8445,0.7085,9.5735,0.71
SSTR2,A_23_P38630,0.9075,0.876,0.7549,8.212,0.756
MPPED1,A_23_P146855,0.9074,0.8742,0.7058,6.66,0.711
STAR,A_23_P8981,0.9072,0.8306,0.6667,6.4385,0.668
GABRA2,CUST_9_PI417557136,0.907,0.8536,0.7472,5.7723,0.749
FILIP1,A_23_P436369,0.9069,0.8137,0.6833,8.873,0.686
EOMES,A_24_P97374,0.9068,0.3273,0.0993,5.864,0.1
PIP4K2A,A_23_P104346,0.9068,0.8814,0.7367,4.8597,0.735
VWA5A,A_23_P98455,0.9068,0.8324,0.7049,7.8978,0.709
HTR2C,CUST_1854_PI417557136,0.9067,0.8457,0.7272,9.6185,0.73
F12,A_23_P167674,0.9066,0.873,0.7451,7.665,0.746
hCG_1776018,CUST_733_PI416379584,0.9064,0.8294,0.6698,9.3342,0.675
EGR3,A_23_P216225,0.9063,0.7435,0.5449,11.8213,0.55
EBF3,A_23_P381645,0.9063,0.6649,0.6175,10.4878,0.617
OR14I1,CUST_634_PI416379584,0.9062,0.8348,0.6285,9.6067,0.635
CDT1,A_23_P37704,0.9061,0.873,0.7323,5.5088,0.733
SHD,A_23_P142255,0.9054,0.8766,0.7484,5.6393,0.75
CDH7,A_23_P153146,0.9054,0.8433,0.6855,6.8987,0.685
EXTL1,A_23_P62999,0.9054,0.8336,0.6811,5.6892,0.684
ACTR3B,A_23_P123193,0.9052,0.8409,0.6587,4.6529,0.663
STK33,CUST_10869_PI416261804,0.9052,0.8409,0.6656,6.5514,0.671
VAV3,A_23_P201551,0.9048,0.8796,0.7495,6.6405,0.748
BAI2,A_23_P149019,0.9048,0.7526,0.594,4.759,0.597
C20orf103,A_23_P40295,0.9047,0.8669,0.7433,8.2172,0.744
FLT3,CUST_16950_PI416261804,0.9047,0.873,0.7465,7.1477,0.748
MOXD1,A_23_P31064,0.9045,0.859,0.7024,11.1574,0.704
TBC1D26,A_24_P168994,0.9042,0.8397,0.6412,8.2822,0.647
GABBR2,A_23_P112275,0.9041,0.8463,0.7244,5.9486,0.725
STXBP6,A_24_P10214,0.904,0.8439,0.6856,6.1104,0.685
MEIS1,A_24_P319736,0.904,0.8663,0.7415,6.9445,0.741
SV2C,CUST_853_PI416573500,0.9039,0.8439,0.7336,9.205,0.735
DACH1,CUST_14156_PI416261804,0.9036,0.8596,0.7373,5.7996,0.739
HSPB3,A_23_P92730,0.9035,0.8506,0.7027,11.1661,0.708
CDR2L,A_23_P3963,0.9034,0.8766,0.7371,6.1006,0.738
NEUROD6,CUST_6524_PI416261804,0.9033,0.8173,0.5941,12.2602,0.601
DDN,A_23_P2317,0.9032,0.8294,0.6467,7.7197,0.651
GBE1,A_23_P121082,0.9032,0.8639,0.7316,4.8231,0.735
MBP,CUST_15810_PI416261804,0.9031,0.8657,0.7369,7.3709,0.737
CECR6,A_23_P259344,0.9026,0.85,0.6763,5.423,0.679
PEX5L,A_24_P328657,0.9025,0.7411,0.6358,5.3459,0.633
ERC2,A_24_P374759,0.9025,0.8276,0.7173,5.7324,0.721
ZFHX3,A_23_P118266,0.9024,0.8838,0.7002,6.3608,0.703
PKIB,CUST_14294_PI416261804,0.9023,0.8724,0.711,6.2598,0.714
LOC100192379,A_24_P238118,0.9023,0.6201,0.3334,7.4073,0.348
KCNC1,A_23_P203439,0.9021,0.7955,0.6467,5.7947,0.645
TFAP2B,A_24_P20954,0.9019,0.5312,0.424,8.828,0.421
LHX6,A_23_P32175,0.9018,0.8488,0.6899,11.5581,0.692
TBR1,CUST_4783_PI416261804,0.9017,0.6322,0.4034,7.8712,0.414
UGT8,A_24_P103264,0.9017,0.8699,0.7371,8.1466,0.737
ABTB2,A_23_P356616,0.9015,0.8451,0.7135,6.2544,0.713
PENK,A_23_P417918,0.9015,0.8494,0.7331,12.1324,0.733
KCNF1,A_23_P142765,0.9014,0.8475,0.7223,9.4525,0.723
KHDRBS2,CUST_11302_PI416261804,0.901,0.8548,0.7003,7.3987,0.703
KCNJ16,CUST_13805_PI416261804,0.9008,0.8246,0.684,9.9302,0.687
ENST00000357303,A_23_P364504,0.9006,0.7907,0.5976,8.5215,0.606
CDH15,A_32_P25357,0.9004,0.7278,0.4381,7.3618,0.442
LARGE,CUST_423_PI416408490,0.9003,0.8451,0.6848,4.6683,0.689
PAP2D,CUST_8624_PI416261804,0.9002,0.8772,0.7533,7.1609,0.754
ATP2B1,CUST_15788_PI416261804,0.9002,0.8348,0.6986,5.4241,0.698
ADM,CUST_61_PI416408490,0.8999,0.8663,0.7316,8.583,0.734
MFSD4,A_24_P51115,0.8999,0.8609,0.6997,5.7645,0.704
KRT31,A_23_P107465,0.8999,0.8046,0.5764,9.7587,0.584
LPAR1,A_23_P502879,0.8998,0.8609,0.7027,6.6041,0.701
DRD1,CUST_1375_PI417557136,0.8996,0.7272,0.5411,8.3135,0.547
BACE2,A_23_P154875,0.8996,0.8415,0.7226,5.921,0.722
SLC26A4,A_23_P331560,0.8994,0.7701,0.5385,6.9798,0.548
HPCA,CUST_10_PI416383280,0.8994,0.8802,0.7324,7.3365,0.733
SLC24A3,A_23_P79978,0.8993,0.8754,0.7157,6.5905,0.717
COCH,A_24_P184803,0.8992,0.8796,0.7156,8.8292,0.717
PBX3,A_23_P71821,0.8991,0.8409,0.6947,5.0889,0.698
RAB27B,A_23_P107612,0.8991,0.827,0.6633,6.0003,0.661
CACNG3,CUST_136_PI416408490,0.8989,0.8415,0.7142,8.387,0.717
ZNF521,A_23_P159027,0.8986,0.8403,0.6907,4.9797,0.691
CADPS2,CUST_12165_PI416261804,0.8985,0.8439,0.6929,7.7734,0.697
PHACTR1,A_32_P52018,0.8984,0.8584,0.7032,5.8465,0.704
SEMA7A,A_23_P106389,0.8983,0.8258,0.7337,7.412,0.732
GALNTL5,A_23_P429601,0.8982,0.7417,0.5246,8.8091,0.534
SYT1,A_23_P36795,0.8982,0.81,0.7151,6.1136,0.711
ACTN1,A_23_P105957,0.8978,0.8693,0.709,5.2692,0.71
RGS20,CUST_9140_PI416261804,0.8977,0.8566,0.7208,7.5953,0.724
NUDT4,A_24_P335263,0.8975,0.8584,0.6985,4.1408,0.702
FAM19A1,CUST_7250_PI416261804,0.8974,0.8621,0.7107,9.057,0.712
LOC100290070,CUST_384_PI416408490,0.8973,0.8421,0.6747,7.2151,0.674
MYB,A_23_P31073,0.8973,0.807,0.6054,10.0551,0.61
INA,A_23_P35444,0.8971,0.8482,0.6816,5.6422,0.684
WIF1,A_32_P216520,0.8971,0.853,0.7111,10.0572,0.71
SPHKAP,A_23_P392654,0.897,0.876,0.7333,7.3492,0.734
KCNJ3,A_23_P153986,0.897,0.8596,0.7256,8.2186,0.729
PRL,A_32_P65616,0.8969,0.8185,0.6606,10.2418,0.66
DPF1,CUST_759_PI416379584,0.8969,0.8572,0.723,4.4517,0.724
EIF5A2,A_24_P380022,0.8968,0.8621,0.7371,5.0496,0.738
MGAT5B,A_24_P219474,0.8967,0.8258,0.7057,6.3798,0.707
CLSTN2,A_23_P212608,0.8966,0.8457,0.7157,6.5904,0.714
SLC8A2,A_32_P45844,0.8964,0.8657,0.7306,8.319,0.732
CTNNA3,A_23_P73117,0.8964,0.8536,0.7238,6.2779,0.722
BCL11A,A_24_P402588,0.8963,0.8512,0.7059,6.3497,0.709
FOXA2,A_24_P365515,0.896,0.3793,0.1918,6.4461,0.19
CHRM1,CUST_1749_PI417557136,0.896,0.7338,0.5616,7.0543,0.568
RHOQ,A_32_P49844,0.896,0.8355,0.7016,4.6445,0.706
PADI2,A_24_P205604,0.8959,0.8657,0.7231,6.4493,0.723
BCAS1,A_23_P17420,0.8959,0.8705,0.7259,7.7277,0.725
NCALD,A_23_P215883,0.8959,0.8554,0.7307,6.0965,0.733
GRIA1,CUST_13838_PI416261804,0.8958,0.8984,0.7396,8.7538,0.739
TNFRSF25,A_23_P126844,0.8957,0.8288,0.6436,6.7294,0.646
KCNAB1,A_23_P44494,0.8956,0.8409,0.6969,7.1024,0.696
CA10,A_23_P207461,0.8956,0.8415,0.6954,6.1536,0.694
C6orf105,A_23_P156826,0.8956,0.5287,0.2791,6.7091,0.296
CIT,A_23_P420551,0.8956,0.8548,0.6663,5.6866,0.67
ERMN,A_23_P102017,0.8955,0.8705,0.7266,8.2713,0.726
LRP2,CUST_9083_PI416261804,0.8954,0.856,0.7183,7.0455,0.718
PDP1,A_23_P123336,0.8954,0.856,0.7199,6.4322,0.723
LGALS1,A_23_P166459,0.8953,0.8409,0.713,6.2986,0.714
C4orf44,CUST_685_PI416379584,0.8952,0.83,0.7109,6.3767,0.711
CTXN1,A_32_P155016,0.8949,0.8155,0.6873,5.0054,0.689
PGM2L1,A_23_P396765,0.8949,0.8348,0.6969,5.1646,0.699
VAT1L,CUST_8565_PI416261804,0.8949,0.8451,0.7214,7.2046,0.725
KLHL13,CUST_11290_PI416261804,0.8948,0.7961,0.6273,6.413,0.634
CA11,A_23_P78782,0.8948,0.8373,0.7085,7.6117,0.712
PTPN3,A_23_P403898,0.8948,0.8457,0.6681,11.6259,0.673
MOBKL2B,A_24_P32085,0.8945,0.8639,0.7152,5.6131,0.715
RSPO4,CUST_609_PI416379584,0.8945,0.856,0.677,8.7182,0.681
RIMS3,A_23_P319583,0.8944,0.8609,0.6851,6.7344,0.69
DMRTC2,CUST_1435_PI416261804,0.8944,0.8711,0.7241,6.6156,0.723
PKD2L1,A_23_P12554,0.8942,0.7241,0.4363,7.5206,0.448
RGS9,A_23_P66881,0.8942,0.7792,0.6529,7.5222,0.652
PLP1,CUST_9863_PI416261804,0.894,0.882,0.7249,8.6156,0.725
ENPP2,CUST_14963_PI416261804,0.894,0.8742,0.7208,8.3246,0.721
DDC,CUST_674_PI417557136,0.894,0.7502,0.6076,9.6432,0.613
ADRA1D,CUST_64_PI416408490,0.894,0.8633,0.7225,9.6416,0.723
CAMK1D,CUST_14421_PI416261804,0.8938,0.8554,0.671,6.8578,0.674
CNIH3,A_23_P384044,0.8938,0.8421,0.6659,5.8556,0.67
CFC1B,CUST_643_PI416261804,0.8938,0.8427,0.6582,6.9403,0.66
PLD1,A_23_P155335,0.8938,0.8669,0.7251,5.9917,0.724
DGKB,A_23_P61919,0.8938,0.8427,0.7009,7.1202,0.705
VAMP1,A_23_P105545,0.8937,0.8578,0.7291,9.3521,0.729
CXorf57,A_23_P96369,0.8937,0.7798,0.673,5.9099,0.672
FAM81A,A_23_P3295,0.8936,0.8288,0.6507,6.1799,0.657
ADCY2,A_32_P405973,0.8936,0.752,0.513,7.804,0.522
NECAB1,A_24_P33989,0.8935,0.8167,0.6891,7.6073,0.694
HN1L,A_23_P434900,0.8935,0.8554,0.7085,7.1368,0.707
RCAN2,A_32_P156851,0.8934,0.8324,0.682,5.6092,0.681
S100A10,A_23_P137984,0.8933,0.8445,0.7245,6.7991,0.728
HLF,A_23_P356585,0.8933,0.8524,0.7149,4.8405,0.718
DLX2,A_23_P28598,0.8933,0.7647,0.622,8.2295,0.626
CCDC3,A_24_P369232,0.8932,0.8409,0.6691,7.1605,0.674
BAIAP3,A_23_P163492,0.8932,0.8361,0.7322,9.7974,0.732
SST,CUST_978_PI417557136,0.8931,0.824,0.6783,13.4885,0.677
LOC100289771,CUST_483_PI416261804,0.893,0.8179,0.6439,7.6231,0.649
ST6GALNAC5,A_23_P33093,0.8929,0.8796,0.7346,8.7465,0.737
CNTN6,CUST_10052_PI416261804,0.8928,0.8185,0.6749,5.678,0.673
NPTXR,A_23_P29282,0.8927,0.8016,0.6102,7.1865,0.616
MOBP,A_23_P109614,0.8925,0.856,0.7077,7.6098,0.705
HOXA7,A_23_P70968,0.8924,0.5608,0.4064,9.0793,0.403
TANC1,A_23_P388400,0.8924,0.8518,0.726,5.2784,0.726
GPR98,A_23_P19134,0.8923,0.8252,0.6939,8.9168,0.694
PCDH12,CUST_12750_PI416261804,0.8922,0.8433,0.7219,7.9583,0.723
LOC100127998,A_32_P187704,0.8922,0.8645,0.7182,5.9381,0.721
ATRNL1,A_32_P224047,0.8922,0.8403,0.7284,6.8309,0.732
PDE10A,CUST_505_PI416408490,0.8921,0.7514,0.566,7.8801,0.561
COL25A1,A_24_P257478,0.8918,0.8524,0.7186,8.0472,0.717
GRIN2A,A_23_P100278,0.8917,0.8681,0.7344,6.3722,0.736
WNT3,A_23_P130158,0.8916,0.8494,0.6867,6.1568,0.69
PAK3,A_23_P346813,0.8916,0.758,0.5755,4.9107,0.575
RASL11B,A_23_P69738,0.8916,0.8409,0.6988,7.3267,0.703
PSD,A_23_P115699,0.8915,0.7985,0.6525,6.5931,0.655
ARPP-21,A_23_P143838,0.8915,0.7895,0.6825,6.6417,0.683
SHISA6,CUST_856_PI416379584,0.8914,0.8639,0.7192,8.7763,0.722
PRAGMIN,A_23_P250212,0.891,0.8312,0.6919,5.9249,0.693
TRPC3,A_23_P41455,0.8909,0.8663,0.7056,5.9248,0.705
LOC400043,A_32_P169406,0.8909,0.7374,0.5896,10.2,0.589
CNR1,CUST_1245_PI417557136,0.8908,0.8584,0.726,8.8595,0.726
LHX9,CUST_1720_PI416261804,0.8906,0.8004,0.6377,10.5285,0.637
ARPP21,CUST_8328_PI416261804,0.8906,0.827,0.6914,10.2292,0.691
RBP4,A_23_P75283,0.8902,0.8415,0.6891,8.5885,0.69
KIAA0748,A_23_P105423,0.8901,0.6685,0.4152,8.5392,0.428
CNKSR2,CUST_1007_PI416379584,0.8901,0.8766,0.7284,6.2403,0.731
SYTL5,CUST_1186_PI416261804,0.8901,0.8385,0.6986,7.6798,0.701
OPCML,A_32_P160563,0.89,0.8203,0.7039,6.2153,0.704
CRYM,CUST_11733_PI416261804,0.89,0.804,0.6473,13.1334,0.651
SLC6A3,CUST_946_PI417557136,0.8898,0.5729,0.3954,8.0793,0.395
PRRT2,A_23_P66017,0.8896,0.8639,0.7206,6.6289,0.72
C1QL3,A_23_P1186,0.8896,0.8572,0.7182,11.8475,0.72
RAB37,A_23_P414654,0.8895,0.8324,0.7162,7.7903,0.716
KCNIP2,CUST_381_PI416408490,0.8895,0.8488,0.7019,7.1026,0.702
ZNF385B,A_32_P196438,0.8895,0.8506,0.7059,7.1214,0.707
RGS7BP,CUST_623_PI416261804,0.8894,0.8209,0.7162,5.3095,0.715
GABRA1,CUST_545_PI417557136,0.8894,0.83,0.7072,6.8581,0.708
