Gene,Probe,Pearson,MaxDiff,Tau,Euclid,AvgVar
LRP8,A_23_P34325,0.6844,0.6751,0.451,4.8358,0.45
CALD1,A_24_P921366,0.6844,0.7102,0.4869,4.6262,0.485
EHD2,A_24_P156113,0.6844,0.7139,0.4674,5.1225,0.465
CMTM6,A_23_P57736,0.6844,0.7048,0.4446,4.2998,0.453
GABRG1,CUST_275_PI416408490,0.6844,0.6128,0.4772,10.1334,0.477
RABEP1,A_23_P78158,0.6843,0.7072,0.4268,7.0796,0.425
RAB9A,A_23_P45389,0.6842,0.706,0.4419,5.7304,0.441
NT5C,A_23_P66439,0.6842,0.7514,0.4669,6.0845,0.47
NCRNA00201,CUST_11138_PI416261804,0.6842,0.6068,0.4014,4.8487,0.394
STYX,A_32_P109794,0.6842,0.7314,0.5019,3.991,0.506
HIST1H2BK,A_23_P145238,0.6842,0.6824,0.4932,7.8755,0.492
CEND1,A_24_P312845,0.6841,0.7139,0.5098,4.1162,0.511
RSPH9,A_24_P55225,0.6841,0.6824,0.4712,11.0592,0.473
PRSS23,A_23_P150789,0.684,0.6649,0.4363,8.6288,0.434
ABCA2,CUST_16485_PI416261804,0.684,0.6999,0.4698,9.2926,0.467
NAPA,A_23_P55990,0.684,0.706,0.502,4.4641,0.5
CDK5R1,CUST_360_PI417507815,0.6839,0.7344,0.461,6.6114,0.457
TMEM181,A_23_P331943,0.6839,0.7048,0.4453,4.3503,0.445
AKAP6,A_23_P14343,0.6839,0.7096,0.4816,5.7524,0.482
C2orf68,A_32_P179005,0.6838,0.706,0.4474,6.3786,0.446
TLE6,A_23_P208937,0.6838,0.5886,0.447,8.179,0.446
IFIT1,A_23_P52266,0.6837,0.663,0.4119,5.1861,0.411
hCG_1655019,CUST_3712_PI416261804,0.6837,0.6425,0.3614,5.7916,0.37
LOC100294059,CUST_3311_PI416261804,0.6837,0.663,0.4426,5.6999,0.443
EXOSC8,A_24_P241276,0.6836,0.677,0.4396,4.269,0.438
LOC730268,CUST_2753_PI416261804,0.6836,0.6382,0.4278,5.5632,0.426
FOXD4L5,CUST_363_PI416379584,0.6836,0.6509,0.4176,8.8202,0.418
ZNF800,A_23_P419192,0.6835,0.6782,0.3919,3.477,0.387
C9orf72,A_23_P405873,0.6835,0.729,0.4605,4.3627,0.463
TMSB15B,A_23_P96599,0.6835,0.7102,0.4594,5.9898,0.461
PYCR2,A_24_P165259,0.6835,0.7459,0.4844,4.9231,0.483
KCNA2,A_23_P137923,0.6835,0.7308,0.5098,5.5427,0.512
CCDC64,CUST_588_PI416379584,0.6834,0.7175,0.467,6.8211,0.47
PLEKHO1,A_23_P35114,0.6834,0.7344,0.4777,5.4692,0.48
LIG1,A_23_P39116,0.6834,0.6993,0.4808,6.0877,0.478
HUNK,A_23_P166235,0.6833,0.7108,0.4533,7.8861,0.455
FAM69A,A_24_P246406,0.6833,0.6866,0.4567,4.2638,0.461
TRUB2,A_23_P169428,0.6833,0.7423,0.4886,3.5517,0.488
CLIP1,A_23_P25003,0.6833,0.6582,0.4264,3.9444,0.43
TNNI3K,A_23_P200024,0.6832,0.5917,0.3257,7.0501,0.339
ZBTB16,A_23_P104804,0.6832,0.6957,0.4718,7.9358,0.482
MINA,A_23_P91827,0.6832,0.6782,0.4765,3.0651,0.483
DLG2,A_32_P229618,0.6832,0.6842,0.4682,7.476,0.472
TBC1D1,A_24_P943613,0.6831,0.6425,0.3928,5.426,0.402
SYAP1,A_23_P83939,0.6831,0.7211,0.4803,4.9701,0.478
TEX9,CUST_62_PI416573500,0.6831,0.6195,0.4359,6.8435,0.442
DHRS7C,A_23_P129916,0.683,0.5142,0.2523,5.9167,0.27
FAM181B,A_32_P137391,0.683,0.6751,0.4419,7.6836,0.445
RABEP2,CUST_4597_PI416261804,0.683,0.712,0.4847,5.6353,0.484
FIBCD1,A_23_P112187,0.6829,0.6558,0.3458,5.8193,0.346
LIPC,A_23_P88559,0.6828,0.6909,0.4947,8.9083,0.493
TCF15,A_23_P254816,0.6828,0.6794,0.4975,5.2268,0.497
FIGNL2,CUST_764_PI416379584,0.6827,0.7229,0.4927,7.9393,0.497
SLC46A3,CUST_12434_PI416261804,0.6827,0.7362,0.514,5.3282,0.518
THAP8,A_23_P433820,0.6826,0.7356,0.5095,3.6252,0.512
HEATR5A,A_23_P433369,0.6826,0.7102,0.4511,5.2005,0.451
CPVL,A_23_P134347,0.6826,0.6981,0.4574,9.4774,0.457
AQP5,A_23_P117104,0.6826,0.7084,0.4778,8.7842,0.484
PRRX1,CUST_9244_PI416261804,0.6826,0.6927,0.486,4.1593,0.489
