"","Inh L4-6 SST GXYLT2","Inh L5-6 SST MIR548F2","Inh L1-2 PAX6 TNFAIP8L3","Inh L1-4 VIP PENK","value"
"1","2.57e+01","2.25e+01","2.0e+01","2.0e+01","OddsRatio"
"2","2.20e-02","2.20e-02","2.2e-02","2.2e-02","P-value"
